Postcode,Borough,Neighbourhood,Latitude,Longitude
M1A,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M2A,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3A,North York,Parkwoods,43.75242000000003,-79.32924245299995
M4A,North York,Victoria Village,43.73060024600005,-79.31326499999994
M5A,Downtown Toronto,Harbourfront,43.65029500000003,-79.35916572299999
M6A,North York,Lawrence Heights,43.72327000000007,-79.45128601699997
M6A,North York,Lawrence Manor,43.72327000000007,-79.45128601699997
M7A,Queen's Park,Not assigned,43.66115033500006,-79.39171499999998
M8A,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9A,Downtown Toronto,Queen's Park,43.66229908300005,-79.52819499999998
M1B,Scarborough,Rouge,43.811525000000074,-79.19551746399998
M1B,Scarborough,Malvern,43.811525000000074,-79.19551746399998
M2B,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3B,North York,Don Mills North,43.749055000000055,-79.36222672499997
M4B,East York,Woodbine Gardens,43.707535000000064,-79.31177329699995
M4B,East York,Parkview Hill,43.707535000000064,-79.31177329699995
M5B,Downtown Toronto,Ryerson,43.65736301100003,-79.37817999999999
M5B,Downtown Toronto,Garden District,43.65736301100003,-79.37817999999999
M6B,North York,Glencairn,43.70799000000005,-79.44836733199998
M7B,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8B,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9B,Etobicoke,Cloverdale,43.65034698100004,-79.55503999999996
M9B,Etobicoke,Islington,43.65034698100004,-79.55503999999996
M9B,Etobicoke,Martin Grove,43.65034698100004,-79.55503999999996
M9B,Etobicoke,Princess Gardens,43.65034698100004,-79.55503999999996
M9B,Etobicoke,West Deane Park,43.65034698100004,-79.55503999999996
M1C,Scarborough,Highland Creek,43.78566500000005,-79.15872457299997
M1C,Scarborough,Rouge Hill,43.78566500000005,-79.15872457299997
M1C,Scarborough,Port Union,43.78566500000005,-79.15872457299997
M2C,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3C,North York,Flemingdon Park,43.72142500000007,-79.34345422799998
M3C,North York,Don Mills South,43.72142500000007,-79.34345422799998
M4C,East York,Woodbine Heights,43.689640000000054,-79.30687387799998
M5C,Downtown Toronto,St. James Town,43.65121000000005,-79.37548057699996
M6C,York,Humewood-Cedarvale,43.69210517800008,-79.43035499999996
M7C,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8C,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9C,Etobicoke,Bloordale Gardens,43.648573449000025,-79.57824999999997
M9C,Etobicoke,Eringate,43.648573449000025,-79.57824999999997
M9C,Etobicoke,Markland Wood,43.648573449000025,-79.57824999999997
M9C,Etobicoke,Old Burnhamthorpe,43.648573449000025,-79.57824999999997
M1E,Scarborough,Guildwood,43.76581500000003,-79.17519294699997
M1E,Scarborough,Morningside,43.76581500000003,-79.17519294699997
M1E,Scarborough,West Hill,43.76581500000003,-79.17519294699997
M2E,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3E,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4E,East Toronto,The Beaches,43.67653121600006,-79.29542499999997
M5E,Downtown Toronto,Berczy Park,43.64516015600003,-79.37367499999993
M6E,York,Caledonia-Fairbanks,43.68864000000008,-79.45101761399997
M7E,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8E,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9E,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M1G,Scarborough,Woburn,43.768369121000035,-79.21758999999997
M2G,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M3G,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M4G,East York,Leaside,43.70949500000006,-79.36398897099997
M5G,Downtown Toronto,Central Bay Street,43.65609081300005,-79.38492999999994
M6G,Downtown Toronto,Christie,43.66878132800008,-79.42070999999999
M7G,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8G,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9G,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M1H,Scarborough,Cedarbrae,43.76968799900004,-79.23943999999995
M2H,North York,Hillcrest Village,43.80284500000005,-79.35620744999994
M3H,North York,Bathurst Manor,43.75787500000007,-79.44868764799998
M3H,North York,Downsview North,43.75787500000007,-79.44868764799998
M3H,North York,Wilson Heights,43.75787500000007,-79.44868764799998
M4H,East York,Thorncliffe Park,43.70124000000004,-79.34982482599997
M5H,Downtown Toronto,Adelaide,43.64970000000005,-79.38258157399997
M5H,Downtown Toronto,King,43.64970000000005,-79.38258157399997
M5H,Downtown Toronto,Richmond,43.64970000000005,-79.38258157399997
M6H,West Toronto,Dovercourt Village,43.66508694300006,-79.43870499999997
M6H,West Toronto,Dufferin,43.66508694300006,-79.43870499999997
M7H,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8H,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9H,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M1J,Scarborough,Scarborough Village,43.74312500000008,-79.23174973599998
M2J,North York,Fairview,43.780970000000025,-79.34781328099996
M2J,North York,Henry Farm,43.780970000000025,-79.34781328099996
M2J,North York,Oriole,43.780970000000025,-79.34781328099996
M3J,North York,Northwood Park,43.76476500000007,-79.48809440699995
M3J,North York,York University,43.76476500000007,-79.48809440699995
M4J,East York,East Toronto,43.688765344000046,-79.33417499999996
M5J,Downtown Toronto,Harbourfront East,43.630210000000034,-79.36243320899996
M5J,Downtown Toronto,Toronto Islands,43.630210000000034,-79.36243320899996
M5J,Downtown Toronto,Union Station,43.630210000000034,-79.36243320899996
M6J,West Toronto,Little Portugal,43.64852500000006,-79.41775713399994
M6J,West Toronto,Trinity,43.64852500000006,-79.41775713399994
M7J,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M8J,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
M9J,Not assigned,Not assigned,43.648690000000045,-79.38543999999996
